"1.5713462829589844,Beginning load cell objects..."
"2.603097677230835,Simultaneously starting load cells..."
"6.579057931900024,LoadCell_1 Startup is complete"
"7.0817177295684814,LoadCell_2 Startup is complete"
"7.580406427383423,Startup is complete"
"7.61331844329834,0:231.88402000, 1:191.45444000, 2:1021"
"7.679142475128174,0:231.88402000, 1:191.45444000, 2:1020"
"7.7130515575408936,0:231.88411000, 1:191.45515000, 2:1022"
"7.745964050292969,0:231.88411000, 1:191.45589000, 2:1020"
"7.7798731327056885,0:231.88414000, 1:191.45680000, 2:1023"
"7.812784910202026,0:231.88405000, 1:191.45770000, 2:1020"
"7.879606246948242,0:231.88387000, 1:191.45872000, 2:1021"
"7.913516283035278,0:231.88374000, 1:191.45947000, 2:1021"
"7.946427583694458,0:231.88361000, 1:191.46021000, 2:1019"
"7.980337142944336,0:231.88365000, 1:191.46083000, 2:1020"
"8.04616117477417,0:231.88371000, 1:191.46173000, 2:1018"
"8.080070734024048,0:231.88380000, 1:191.46259000, 2:1021"
"8.112982511520386,0:231.88377000, 1:191.46332000, 2:1018"
"8.146891832351685,0:231.88365000, 1:191.46425000, 2:1021"
"8.179803848266602,0:231.88383000, 1:191.46509000, 2:1021"
"8.246626138687134,0:231.88422000, 1:191.46593000, 2:1021"
"8.279537200927734,0:231.88458000, 1:191.46675000, 2:1022"
"8.312449216842651,0:231.88470000, 1:191.46767000, 2:1019"
"8.34635853767395,0:231.88461000, 1:191.46814000, 2:1021"
"8.413179874420166,0:231.88457000, 1:191.46858000, 2:1018"
"8.44609260559082,0:231.88461000, 1:191.46884000, 2:1021"
"8.479510307312012,0:231.88464000, 1:191.46924000, 2:1018"
"8.513419151306152,0:231.88438000, 1:191.46968000, 2:1020"
"8.546331405639648,0:231.88446000, 1:191.46991000, 2:1020"
"8.61315393447876,0:231.88448000, 1:191.47028000, 2:1020"
"8.646064281463623,0:231.88458000, 1:191.47086000, 2:1022"
"8.679973840713501,0:231.88438000, 1:191.47151000, 2:1020"
"8.712886095046997,0:231.88437000, 1:191.47208000, 2:1023"
"8.746795892715454,0:231.88441000, 1:191.47263000, 2:1019"
"8.813617706298828,0:231.88434000, 1:191.47321000, 2:1021"
"8.846529483795166,0:231.88420000, 1:191.47385000, 2:1019"
"8.880439043045044,0:231.88419000, 1:191.47414000, 2:1019"
"8.913350820541382,0:231.88397000, 1:191.47476000, 2:1020"
"8.97968316078186,0:231.88368000, 1:191.47513000, 2:1018"
"9.013592720031738,0:231.88351000, 1:191.47566000, 2:1021"
"9.046504020690918,0:231.88326000, 1:191.47604000, 2:1019"
"9.08092212677002,0:231.88312000, 1:191.47638000, 2:1022"
"9.114832162857056,0:231.88307000, 1:191.47662000, 2:1021"
"9.17916488647461,0:231.88280000, 1:191.47697000, 2:1022"
"9.213074207305908,0:231.88264000, 1:191.47737000, 2:1020"
"9.245985984802246,0:231.88274000, 1:191.47769000, 2:1019"
"9.27940320968628,0:231.88251000, 1:191.47792000, 2:1021"
"9.346223831176758,0:231.88234000, 1:191.47812000, 2:1018"
"9.379136085510254,0:231.88219000, 1:191.47839000, 2:1021"
"9.413045167922974,0:231.88222000, 1:191.47849000, 2:1019"
"9.445957660675049,0:231.88206000, 1:191.47870000, 2:1022"
"9.479866981506348,0:231.88185000, 1:191.47897000, 2:1020"
"9.545690774917603,0:231.88173000, 1:191.47911000, 2:1020"
"9.57960033416748,0:231.88173000, 1:191.47925000, 2:1022"
"9.612512111663818,0:231.88155000, 1:191.47971000, 2:1020"
"9.646421432495117,0:231.88165000, 1:191.48004000, 2:1022"
"9.712245464324951,0:231.88148000, 1:191.48058000, 2:1019"
"9.746155500411987,0:231.88142000, 1:191.48109000, 2:1022"
"9.780064821243286,0:231.88135000, 1:191.48151000, 2:1019"
"9.81397533416748,0:231.88141000, 1:191.48192000, 2:1019"
"9.846886396408081,0:231.88152000, 1:191.48245000, 2:1019"
"9.912710189819336,0:231.88165000, 1:191.48285000, 2:1019"
"9.946619510650635,0:231.88168000, 1:191.48337000, 2:1021"
"9.979531526565552,0:231.88165000, 1:191.48409000, 2:1020"
"10.012442827224731,0:231.88168000, 1:191.48477000, 2:1023"
"10.04635238647461,0:231.88187000, 1:191.48528000, 2:1020"
"10.112176895141602,0:231.88188000, 1:191.48596000, 2:1022"
"10.146085977554321,0:231.88197000, 1:191.48660000, 2:1020"
"10.179502010345459,0:231.88194000, 1:191.48727000, 2:1019"
"10.212414264678955,0:231.88219000, 1:191.48784000, 2:1020"
"10.279236078262329,0:231.88234000, 1:191.48813000, 2:1018"
"10.313146114349365,0:231.88206000, 1:191.48863000, 2:1021"
"10.346057176589966,0:231.88205000, 1:191.48892000, 2:1019"
"10.379966497421265,0:231.88191000, 1:191.48920000, 2:1022"
"10.412878036499023,0:231.88214000, 1:191.48979000, 2:1020"
"10.478703737258911,0:231.88205000, 1:191.49030000, 2:1022"
"10.512611627578735,0:231.88213000, 1:191.49080000, 2:1022"
"10.545523881912231,0:231.88191000, 1:191.49098000, 2:1020"
"10.579433917999268,0:231.88182000, 1:191.49120000, 2:1021"
"10.646255254745483,0:231.88148000, 1:191.49135000, 2:1018"
"10.679680109024048,0:231.88139000, 1:191.49129000, 2:1022"
"10.712591171264648,0:231.88121000, 1:191.49127000, 2:1018"
"10.746500015258789,0:231.88120000, 1:191.49121000, 2:1020"
"10.779921293258667,0:231.88084000, 1:191.49156000, 2:1020"
"10.845744848251343,0:231.88052000, 1:191.49156000, 2:1021"
"10.880164861679077,0:231.88033000, 1:191.49193000, 2:1022"
